search_id,search_term,clicked,search_results_position
205,physical,0,3
848,dog,0,5
110,quality,0,5
351,cat,1,3
69,education,1,4
812,summer,0,4
365,hotel,1,4
285,station,1,3
879,rabbit,0,2
583,dog,0,3
686,law,0,1
347,summer,1,2
874,politics,1,4
172,physical,1,4
337,dog,0,2
956,fire,0,4
929,summer,1,5
800,rabbit,0,2
379,station,1,4
689,cat,0,5
783,education,1,1
708,airline,1,1
827,law,0,1
668,airline,1,3
731,airline,0,5
212,education,1,2
624,rabbit,0,1
394,physical,0,2
163,law,0,5
987,approach,1,1
465,cat,1,3
780,police,1,2
241,church,0,3
946,hotel,0,1
257,hotel,1,1
466,physical,0,3
743,education,1,3
709,dog,0,4
591,summer,1,4
441,national,1,4
342,hotel,0,1
150,physical,0,2
78,hotel,0,2
443,police,1,2
6,national,1,2
244,quality,1,1
968,national,1,2
531,hotel,1,4
595,airline,1,2
719,national,1,3
693,police,0,3
514,quality,0,4
341,physical,1,3
185,politics,1,3
721,airline,1,1
488,dog,0,4
972,physical,1,1
388,cat,0,5
350,sister,0,3
625,sister,0,5
515,politics,1,3
496,dog,0,5
612,quality,1,1
84,sister,1,1
156,station,0,1
985,physical,1,4
854,fire,0,4
338,fire,1,5
437,law,0,1
774,fire,1,1
812,law,1,2
400,national,0,2
596,summer,0,1
687,rabbit,0,1
882,airline,0,5
337,approach,1,1
262,summer,0,1
869,summer,0,3
661,church,1,5
288,summer,1,4
207,hotel,1,5
356,dog,0,1
316,national,1,1
20,sister,1,5
845,dog,0,3
543,hotel,1,5
119,cat,1,5
960,physical,1,1
313,hotel,1,4
719,dog,1,5
209,airline,0,1
914,approach,1,5
136,quality,1,5
694,law,0,2
992,approach,0,4
101,church,1,2
288,sister,0,5
201,approach,1,4
646,police,0,1
310,summer,1,2
943,education,1,1
943,approach,0,1
775,quality,0,2
926,dog,1,4
94,summer,1,5
61,quality,0,1
46,station,0,2
702,dog,1,3
563,station,0,5
941,police,0,4
973,hotel,0,3
840,law,1,3
507,dog,1,4
951,dog,0,5
365,station,1,4
198,law,0,4
894,dog,0,3
407,hotel,0,2
626,station,0,3
712,rabbit,0,2
676,fire,0,5
938,church,0,3
57,station,1,1
567,physical,0,5
974,law,1,5
41,airline,0,1
647,rabbit,0,1
873,dog,1,2
724,fire,0,4
73,summer,1,5
753,police,1,2
523,cat,1,2
459,politics,0,1
239,summer,0,3
895,police,1,2
790,station,1,4
348,dog,0,4
551,rabbit,1,3
803,dog,0,2
501,quality,1,4
966,church,0,3
598,police,0,1
744,dog,1,4
158,quality,1,3
344,airline,1,5
605,hotel,1,2
354,national,0,2
175,education,0,3
86,hotel,0,4
489,airline,1,1
23,dog,1,4
928,church,1,2
527,sister,0,1
92,dog,1,2
488,approach,0,2
71,airline,1,3
468,cat,1,4
558,quality,1,1
259,education,1,4
373,law,0,1
132,cat,1,2
540,rabbit,0,5
264,dog,1,1
664,police,1,2
423,fire,1,4
933,politics,1,3
83,fire,1,1
992,politics,0,4
393,rabbit,1,2
927,dog,0,5
588,fire,0,2
792,approach,1,1
492,hotel,0,1
865,national,0,2
220,law,0,1
108,law,1,1
515,physical,0,3
416,police,0,2
908,education,0,3
300,education,0,4
729,station,1,5
271,education,1,1
380,summer,1,3
432,politics,0,1
827,education,0,4
487,cat,0,2
846,law,1,4
634,dog,1,2
828,rabbit,0,3
767,cat,0,3
963,dog,1,3
606,education,1,5
130,sister,1,2
955,education,0,3
727,police,1,1
374,fire,0,1
516,physical,0,5
505,summer,1,3
83,law,0,2
764,airline,1,5
408,summer,1,3
56,hotel,0,1
959,station,1,3
738,politics,0,2
939,church,1,2
469,national,1,1
751,education,0,5
222,police,0,1
861,education,0,2
619,hotel,0,4
915,national,0,4
833,rabbit,0,2
264,fire,1,3
669,fire,1,3
241,approach,0,3
70,rabbit,1,5
471,dog,1,5
368,quality,1,1
557,national,1,4
631,fire,1,4
283,airline,0,5
669,national,1,4
266,station,0,5
997,law,1,4
518,quality,1,1
154,law,0,2
888,airline,1,2
466,politics,1,1
377,church,1,1
378,national,1,2
51,dog,0,5
524,dog,0,5
8,education,0,1
122,fire,1,2
664,quality,0,1
971,approach,0,3
349,politics,0,1
620,sister,1,2
749,law,0,2
168,station,0,5
591,station,0,5
394,education,0,4
887,sister,0,5
499,police,1,3
486,cat,1,3
742,police,0,4
203,politics,1,1
316,station,1,3
473,airline,1,1
677,airline,1,3
331,education,0,4
235,education,1,3
59,law,0,1
459,fire,0,5
188,physical,1,5
130,church,1,4
617,national,0,3
797,quality,0,1
230,national,1,3
609,airline,1,4
109,summer,0,4
804,quality,1,3
485,summer,0,2
430,politics,1,3
470,sister,0,2
395,police,1,2
881,fire,1,2
651,politics,1,2
887,airline,0,2
699,police,1,5
73,station,1,2
573,rabbit,1,3
831,law,0,1
211,airline,0,4
939,physical,0,2
263,education,1,2
391,sister,1,4
893,church,0,2
523,dog,1,3
921,police,1,5
332,hotel,1,1
505,rabbit,1,4
993,law,0,1
932,cat,1,5
465,station,1,1
882,airline,1,4
835,politics,0,1
471,law,0,3
153,education,0,1
795,police,0,2
210,physical,0,2
350,quality,0,1
737,summer,0,2
369,dog,1,4
951,airline,1,4
833,station,1,5
891,sister,1,4
910,quality,0,4
14,politics,0,4
252,hotel,0,5
321,politics,1,3
212,dog,0,1
314,approach,0,3
657,quality,1,5
587,station,0,4
669,church,1,1
287,hotel,1,5
995,airline,1,3
26,physical,0,3
174,hotel,1,1
757,approach,1,3
818,summer,1,3
648,dog,1,1
634,church,0,1
744,summer,1,5
917,quality,1,1
251,physical,1,4
464,church,1,5
15,dog,1,2
893,fire,1,3
816,station,1,4
74,summer,0,1
334,airline,1,5
65,politics,1,3
709,church,1,3
244,summer,0,1
13,law,0,5
521,airline,0,1
457,quality,1,5
300,cat,0,3
961,station,0,5
557,fire,0,2
428,airline,1,4
848,fire,0,2
723,police,1,5
82,airline,0,4
415,national,0,5
535,dog,1,2
143,cat,0,3
849,education,0,3
645,fire,1,3
632,cat,0,1
496,quality,1,1
53,physical,1,1
156,education,0,1
844,law,0,3
21,national,0,3
792,station,0,1
200,quality,1,3
109,quality,1,5
94,cat,0,1
436,national,0,3
501,education,1,2
767,hotel,1,5
603,law,1,5
994,politics,0,4
591,politics,1,4
112,fire,0,2
629,police,1,4
471,hotel,0,4
174,national,0,5
856,education,0,4
736,dog,0,3
587,sister,1,5
430,sister,0,2
461,station,1,4
388,education,0,5
572,politics,1,1
688,quality,0,3
316,sister,1,2
295,station,0,4
591,politics,0,4
299,national,0,4
91,fire,1,2
96,approach,0,4
987,station,0,2
581,quality,0,2
833,approach,0,3
951,fire,1,3
506,approach,0,4
435,law,1,2
185,dog,0,2
334,police,0,4
893,airline,1,5
79,quality,0,4
234,summer,0,1
577,national,1,1
97,sister,1,2
493,approach,1,4
265,hotel,0,3
3,education,0,4
234,cat,0,4
774,fire,0,5
894,airline,0,4
89,education,0,4
867,politics,0,3
541,hotel,0,1
32,national,0,1
945,physical,0,4
328,station,0,4
228,approach,0,2
17,police,1,1
711,approach,1,1
80,approach,1,1
961,hotel,0,4
569,cat,1,1
673,station,1,3
53,law,0,4
646,education,0,4
301,hotel,0,5
666,dog,0,2
652,summer,0,2
953,cat,1,1
911,national,0,4
350,approach,0,4
535,airline,1,5
682,cat,1,4
908,police,0,2
492,dog,1,4
653,rabbit,0,5
688,education,1,5
676,quality,0,4
903,police,1,2
968,church,0,3
59,summer,0,4
84,approach,0,1
221,approach,0,3
335,sister,1,1
348,law,1,2
204,quality,1,3
144,approach,0,4
595,sister,1,3
147,summer,0,5
640,sister,1,5
223,airline,0,2
66,dog,0,2
604,fire,0,4
232,law,1,1
582,summer,1,1
489,national,1,3
769,law,0,1
69,rabbit,1,5
972,education,0,1
714,police,1,4
220,approach,1,1
977,law,0,4
770,station,1,5
568,fire,1,3
252,church,0,1
377,national,0,1
558,education,1,3
757,hotel,0,2
63,approach,1,4
697,fire,0,4
149,education,0,3
255,fire,1,3
873,national,1,1
662,approach,1,4
120,sister,1,2
781,summer,1,1
229,summer,1,4
371,physical,1,5
62,national,0,4
341,rabbit,1,1
383,physical,1,5
3,sister,1,1
892,rabbit,1,3
811,sister,0,5
839,quality,1,1
790,hotel,0,3
722,physical,1,5
137,quality,1,2
812,sister,1,3
762,law,0,2
91,physical,1,5
364,hotel,1,3
460,education,1,5
44,station,1,4
153,police,1,4
952,cat,0,2
29,airline,0,5
556,politics,0,3
565,physical,1,2
475,politics,1,1
434,education,1,3
644,politics,0,5
8,church,0,4
776,cat,1,5
789,national,0,5
308,approach,0,4
890,education,0,5
539,rabbit,1,5
49,quality,0,2
947,cat,0,4
993,law,0,5
508,cat,1,1
372,law,0,3
644,airline,1,3
797,cat,0,1
775,law,1,4
561,dog,0,3
664,police,1,1
138,church,0,1
72,airline,1,5
249,fire,0,1
941,politics,0,4
379,approach,0,1
944,station,0,4
300,hotel,0,4
764,education,0,2
157,law,0,2
754,cat,0,4
192,airline,0,4
587,summer,0,2
529,politics,0,4
919,rabbit,0,4
368,hotel,1,2
492,physical,1,5
407,police,0,3
910,airline,1,5
482,hotel,1,4
225,politics,0,4
482,summer,1,1
819,physical,0,2
664,cat,1,3
719,police,1,1
629,hotel,1,4
47,dog,0,3
779,police,1,1
540,church,0,1
344,quality,1,2
899,station,0,2
248,cat,1,4
173,dog,0,5
313,hotel,0,3
737,dog,1,3
537,approach,1,5
826,police,0,3
444,fire,0,1
644,church,0,1
301,summer,0,3
622,airline,0,3
943,approach,1,4
413,airline,0,1
505,education,0,3
663,politics,1,3
126,rabbit,0,2
724,church,1,4
813,national,0,5
183,law,0,5
362,hotel,1,3
841,fire,0,2
345,airline,0,5
341,education,1,3
10,dog,1,3
830,station,0,3
932,fire,0,5
288,church,0,4
559,church,0,3
207,church,0,3
133,dog,0,3
208,rabbit,0,1
586,law,1,4
870,summer,1,1
68,hotel,1,4
287,national,0,5
45,station,0,5
795,rabbit,1,5
625,approach,0,2
126,national,0,2
403,rabbit,1,2
226,police,1,2
60,cat,1,2
628,station,1,3
174,rabbit,0,2
543,airline,0,5
435,summer,0,3
20,summer,1,5
112,approach,0,3
414,approach,0,1
905,dog,0,1
134,politics,0,4
821,station,1,4
847,sister,0,4
693,rabbit,1,2
302,quality,0,1
393,fire,1,3
135,hotel,1,4
839,dog,1,1
484,education,1,3
559,airline,0,1
206,hotel,1,2
725,dog,0,4
383,airline,0,3
11,politics,1,4
518,politics,0,1
120,politics,0,3
444,education,0,2
735,police,1,4
334,summer,0,4
836,dog,0,2
640,station,0,3
188,hotel,0,3
821,quality,1,5
426,approach,1,4
791,approach,0,2
414,station,0,1
571,cat,1,5
351,church,0,1
378,station,1,3
348,fire,1,1
466,approach,1,3
559,airline,1,1
518,law,1,1
773,quality,0,5
260,quality,0,5
117,summer,1,5
30,physical,1,3
796,police,0,2
589,airline,0,5
48,physical,0,2
296,national,0,4
506,church,1,4
519,station,0,2
720,summer,1,2
563,church,0,5
598,sister,0,2
399,station,1,5
684,fire,0,1
122,fire,1,3
400,rabbit,1,3
163,education,0,2
549,physical,0,2
958,airline,0,4
714,physical,0,3
341,politics,0,5
916,education,1,3
137,dog,0,2
656,sister,1,2
959,station,1,4
326,station,0,3
291,quality,1,2
377,hotel,1,4
807,rabbit,1,5
467,approach,0,2
86,national,0,2
845,dog,1,5
701,law,1,2
867,politics,0,5
268,national,1,4
74,hotel,1,2
3,dog,1,3
237,airline,1,4
295,police,1,1
438,cat,1,1
614,station,0,4
734,sister,1,4
4,physical,1,4
211,airline,0,1
851,airline,0,2
97,education,1,3
891,law,0,5
246,police,1,1
533,police,1,4
230,physical,1,1
15,politics,0,5
370,law,0,5
813,rabbit,0,5
231,airline,0,2
52,politics,1,4
655,rabbit,0,5
796,church,1,3
551,police,1,4
737,approach,0,2
500,quality,0,4
469,law,1,1
416,physical,1,2
195,law,0,1
301,national,1,2
751,fire,1,3
297,physical,0,2
404,summer,0,5
16,quality,1,3
947,hotel,0,3
108,politics,1,3
887,sister,0,5
448,church,1,1
739,approach,1,5
317,church,1,1
301,politics,1,3
555,cat,1,4
739,rabbit,0,3
93,approach,0,1
50,station,1,4
944,airline,1,3
12,politics,1,5
686,police,1,5
450,physical,0,3
53,rabbit,1,2
321,cat,0,4
461,police,0,2
886,sister,0,3
344,politics,1,4
553,education,0,3
358,airline,0,1
540,approach,0,3
427,quality,1,3
619,law,0,1
541,hotel,1,1
835,sister,1,5
15,church,0,1
180,politics,1,1
207,police,0,4
520,politics,0,4
281,dog,0,4
189,airline,1,2
984,station,1,3
992,physical,0,5
781,politics,1,1
559,dog,0,4
341,police,1,2
650,fire,1,1
874,cat,1,1
912,national,1,2
9,hotel,0,5
112,summer,0,2
130,approach,0,1
750,airline,0,3
513,hotel,0,3
38,sister,0,1
807,cat,0,2
370,station,1,5
917,quality,1,3
836,law,0,5
525,sister,0,2
760,politics,0,3
311,airline,1,5
538,airline,0,4
178,station,0,5
126,quality,1,4
256,hotel,0,4
848,sister,1,1
602,sister,1,5
169,church,1,5
856,station,0,2
421,hotel,1,5
574,physical,0,2
50,rabbit,0,3
818,church,0,4
218,church,1,1
747,hotel,1,4
798,quality,0,4
799,approach,0,5
161,education,0,5
162,rabbit,0,2
537,education,1,1
880,rabbit,0,5
670,police,0,5
807,rabbit,1,5
920,station,1,4
452,quality,0,5
639,dog,0,3
156,summer,0,5
478,rabbit,0,5
52,church,1,5
257,approach,0,2
845,quality,0,1
168,national,1,1
281,law,1,5
268,physical,1,1
618,education,0,2
702,physical,0,3
343,approach,0,4
996,hotel,0,5
919,quality,1,4
706,police,0,5
419,quality,1,3
383,fire,1,4
157,sister,1,1
798,hotel,1,5
973,law,1,2
410,sister,0,2
193,quality,0,5
403,airline,0,4
150,station,0,5
861,rabbit,1,5
986,law,1,5
813,hotel,0,5
351,hotel,1,5
792,fire,0,4
157,dog,0,3
981,rabbit,0,4
480,education,1,1
740,quality,0,3
900,dog,1,3
101,physical,1,3
309,station,1,5
147,rabbit,1,4
744,rabbit,1,3
15,airline,1,2
460,fire,1,4
585,law,1,1
906,sister,1,1
581,station,1,3
658,cat,0,4
972,summer,1,1
992,physical,0,2
503,approach,1,4
957,fire,0,3
477,church,0,2
944,approach,0,1
20,politics,0,4
257,station,0,3
562,politics,1,3
453,law,1,1
140,cat,1,4
762,summer,0,2
980,cat,1,5
73,approach,0,1
786,summer,0,4
6,airline,1,4
609,national,0,2
542,hotel,0,3
864,dog,0,1
4,rabbit,0,2
693,station,0,5
574,hotel,0,5
742,airline,0,5
244,politics,1,4
929,airline,0,2
831,dog,1,5
287,education,0,5
460,politics,0,4
466,fire,1,1
689,station,0,3
652,hotel,0,4
119,summer,0,2
229,station,1,4
611,education,0,2
325,police,0,2
58,politics,0,5
93,rabbit,0,4
696,rabbit,1,1
514,church,1,3
393,police,1,2
129,quality,0,2
733,quality,0,2
36,summer,1,2
3,law,0,1
546,sister,1,4
947,airline,0,2
103,hotel,1,2
264,cat,0,5
479,church,1,5
106,physical,0,3
566,fire,1,1
874,fire,1,3
449,hotel,1,1
914,station,1,4
781,approach,1,3
599,church,1,2
205,airline,1,4
20,airline,1,2
777,summer,0,5
971,physical,1,4
844,quality,1,3
773,politics,1,4
153,education,0,3
687,sister,0,3
782,sister,0,4
484,national,0,3
749,cat,0,1
147,sister,1,5
942,politics,1,2
758,airline,0,1
168,politics,0,4
51,sister,0,5
637,airline,1,5
247,politics,1,1
746,dog,1,4
712,politics,0,1
672,quality,1,5
609,airline,0,1
279,church,1,4
833,sister,0,2
457,physical,1,5
958,quality,1,2
21,airline,1,2
158,station,1,1
730,law,1,1
753,police,1,4
942,sister,0,3
61,education,1,3
289,station,1,4
990,church,0,1
257,education,0,1
383,education,0,2
390,church,0,1
545,station,1,4
511,law,0,2
352,quality,0,4
692,national,1,5
433,fire,0,2
338,physical,0,2
233,physical,0,3
421,fire,1,3
867,fire,0,1
99,law,0,1
939,politics,0,5
153,quality,0,4
793,sister,1,1
457,sister,0,2
380,politics,1,1
333,church,0,2
483,dog,0,2
36,dog,0,1
83,hotel,1,3
821,church,0,1
345,approach,0,3
106,police,1,3
624,sister,1,4
394,fire,1,1
396,national,0,4
697,cat,0,1
671,airline,1,1
557,politics,0,1
882,hotel,1,4
934,station,1,2
409,summer,1,5
131,hotel,1,2
614,approach,0,2
677,law,0,2
865,rabbit,0,2
326,rabbit,1,3
247,summer,0,3
948,sister,0,5
577,law,0,4
557,national,1,5
923,approach,1,1
974,rabbit,0,1
611,national,1,5
536,church,0,3
957,police,0,2
583,dog,0,3
381,approach,1,4
330,summer,0,2
465,hotel,0,1
568,cat,0,2
412,fire,0,5
637,physical,0,2
220,education,0,4
880,rabbit,1,1
925,station,0,2
456,quality,1,4
860,station,0,1
765,summer,1,4
223,national,0,2
469,cat,0,5
546,politics,1,2
951,approach,0,1
425,physical,1,4
168,fire,1,4
705,dog,1,4
405,education,0,4
914,cat,0,2
396,church,1,4
198,fire,0,1
791,physical,1,3
636,hotel,1,4
459,fire,1,4
657,quality,1,4
302,politics,0,4
506,approach,1,4
612,police,1,2
360,law,0,4
204,physical,1,4
228,education,1,2
569,law,0,5
761,politics,1,5
224,education,0,4
442,politics,0,3
650,education,1,2
650,rabbit,1,4
229,hotel,0,4
502,sister,1,1
979,national,1,3
10,education,0,1
698,law,0,1
529,rabbit,1,4
75,sister,0,1
853,sister,0,4
200,hotel,0,3
564,cat,1,2
742,approach,0,4
975,rabbit,1,4
521,summer,0,3
1000,fire,0,1
848,dog,0,4
759,quality,0,5
533,cat,1,5
791,sister,0,5
587,education,1,3
131,politics,0,4
404,cat,1,1
315,education,1,3
943,politics,0,3
45,fire,0,1
577,rabbit,1,3
24,politics,1,5
787,law,1,4
950,dog,1,1
181,police,0,1
528,church,0,4
674,cat,0,1
979,approach,0,1
569,airline,1,5
525,rabbit,1,3
935,law,1,5
673,politics,0,2
778,hotel,1,1
349,national,1,2
903,politics,0,3
178,quality,0,1
854,airline,1,5
726,physical,1,3
64,law,0,5
262,politics,0,5
451,rabbit,0,2
330,rabbit,1,3
105,approach,0,1
3,police,1,4
987,hotel,0,2
162,summer,1,2
68,rabbit,0,5
29,hotel,1,2
263,hotel,0,3
739,education,0,1
162,police,1,4
716,police,0,1
87,sister,0,5
946,rabbit,1,2
946,airline,0,1
734,church,0,2
131,church,1,2
291,dog,1,2
162,church,0,1
869,summer,0,2
317,quality,1,2
553,quality,1,2
686,fire,1,4
411,quality,0,1
611,physical,0,2
993,summer,0,4
237,dog,0,2
738,hotel,1,5
914,sister,1,5
736,hotel,1,5
297,station,0,3
596,rabbit,0,1
102,airline,0,3
202,politics,1,3
836,law,1,2
422,dog,1,3
114,station,1,4
975,politics,1,2
379,quality,1,1
240,sister,1,1
872,national,0,5
655,fire,0,2
111,approach,1,3
138,rabbit,1,5
371,quality,1,4
260,education,1,2
39,dog,1,3
951,dog,1,5
10,cat,0,5
490,airline,0,4
652,hotel,0,2
808,rabbit,1,2
547,summer,0,3
341,sister,0,5
303,airline,0,2
212,hotel,1,4
638,education,1,1
914,quality,1,1
853,national,0,1
507,approach,0,3
231,summer,0,1
289,physical,0,1
839,fire,1,4
485,police,0,3
648,cat,1,2
756,summer,1,4
232,approach,0,5
970,church,1,5
365,national,1,5
54,summer,0,5
143,dog,1,4
16,cat,0,1
658,education,1,3
438,fire,0,2
492,cat,1,4
835,national,0,2
271,dog,0,5
176,quality,0,4
968,rabbit,0,2
238,quality,1,1
998,church,1,3
229,law,1,5
824,national,0,1
765,education,1,1
696,police,0,2
482,politics,1,4
352,sister,0,1
722,church,1,4
794,education,0,1
371,law,0,4
530,police,1,5
23,church,0,3
697,physical,0,5
201,politics,0,5
845,church,1,1
251,hotel,0,3
377,hotel,0,4
574,law,1,2
240,national,0,5
705,airline,1,1
766,sister,1,3
225,national,1,3
653,politics,1,1
670,rabbit,1,5
749,fire,0,5
927,police,0,3
409,hotel,0,3
955,church,1,5
177,physical,0,4
294,fire,0,2
289,rabbit,1,4
800,police,1,2
148,airline,0,2
982,summer,1,5
444,cat,1,3
570,church,0,2
118,summer,1,3
702,airline,0,1
985,national,0,2
995,sister,1,4
157,police,0,3
607,dog,0,1
310,quality,0,2
193,police,1,2
222,dog,1,5
952,dog,0,3
598,law,1,3
470,sister,0,4
853,cat,1,3
591,police,0,3
662,rabbit,0,5
526,quality,1,4
773,hotel,1,1
643,rabbit,1,5
113,church,0,4
227,airline,0,3
759,church,0,1
834,approach,0,3
82,national,0,5
492,politics,0,4
184,police,0,1
914,education,0,2
595,station,0,2
547,church,1,2
918,police,0,2
287,dog,1,5
627,police,0,5
154,summer,0,3
612,cat,0,2
617,politics,1,4
523,quality,0,4
562,politics,0,4
137,fire,0,2
87,approach,1,4
256,church,1,1
549,summer,0,4
485,sister,1,4
128,politics,0,2
265,quality,0,2
475,summer,1,2
534,education,0,5
824,rabbit,1,4
173,church,1,3
522,rabbit,1,5
849,national,0,1
506,hotel,1,2
324,approach,1,3
852,politics,0,4
650,hotel,1,1
546,dog,1,4
637,quality,1,5
617,national,0,4
923,hotel,1,1
737,physical,1,2
266,dog,1,4
581,national,0,4
543,dog,0,1
370,fire,0,2
274,quality,1,3
123,politics,0,1
696,church,0,5
393,church,1,4
70,station,0,3
74,national,0,3
318,national,1,4
